id,credit,debit,date,l,s,d,journal,ledger,description
1,2,1,16330101,1000,15,7,1,1/1,Various coins of gold and silver left over from the previous book
2,2,3,16330101,477,10,0,1,1/1,"60 Leeds dozens at £3.12 sterling, 40 kerseys at £2.17 sterling, and 50 kerseys at £2.19 sterling"
3,2,4,16330101,55,0,6,1,2/1,"5 barrels that remain unsold of gross weight 12 hundredweight 3 pounds, tare 3 quarters 18 pounds, and net of 11 hundredweight 13 pounds at £4.19 per C. (hundredweight)"
4,2,5,16330101,240,0,0,1,2/1,For 800 French crowns due to me in ready money for sold wares at rate of 72d. per French crown
5,2,6,16330101,229,0,0,1,2/1,2290 guilders remaining in the possession of Symonson for the company at 33s. 4d. Flemish to sterling
6,2,8,16330101,3,17,8,1,3/1,Expenses for the reception of 3 barrels of mestica. Mestica is a fine grade of cochineal.
7,7,2,16330101,150,0,0,1,1/2,Ready money from Jacob Symonson in my possession for the company
8,9,11,16330104,360,0,0,1,4/3,100 Leeds Dozens shipped on the Night-glass to Amsterdam under consignment of Symonson purchased from Pinchback
9,1,9,16330104,144,0,0,2,3/1,"For 2/5 of the 100 Leeds Dozens nr 8 paid to Pinchback in ready money, which is now paid to John Joyner and the rest at 6 months"
10,5,10,16330104,120,0,0,2,3/2,400 French crowns remitted by Symonson in his own bills at 123d. Flemish is 1230 guilders and at 72d. sterling is £120
11,13,12,16330109,180,0,0,2,4/4,For 60 pieces of kerseys bought by the company at £3 per piece
12,1,13,16330109,120,0,0,2,4/1,For 2/3 of the payment of the 60 kerseys in nr 11 paid by me in cash
13,14,7,16330109,40,0,0,2,2/5,For Symonson’s 1/3 part of the £120 paid by me nr 12 for the 60 kerseys nr 11
14,5,15,16330103,120,0,0,2,5/2,For 400 French crowns principal at the rate of 72d
15,16,15,16330103,3,4,0,2,5/5,For £10 40s. French crowns of 60 sous for forbearance of the principal for 4 months at 8% at rate of 72d
16,3,12,16330103,270,0,0,2,4/1,For 90 pieces of kerseys owned by me and brought into the company at £3 per piece
17,14,7,16330103,90,0,0,2,2/5,For Jacob’s 1/3 of the 90 kerseys brought into the company nr 16
18,18,17,16330117,566,13,4,3,5/6,For 100 says shipped to Lisbon on the White Lion and consigned to Diego del Varino
19,19,18,16330117,340,0,0,3,6/6,For Rice’s 3/5 part of the 100 says valued at £566.13.4 nr 18
20,13,20,16330123,564,1,5,3,6/4,For £2148 50s. 6d. French crowns remitted from the £566.13.4 (nr 18) with provision and brokerage at 63d.
21,23,21,16330123,2,11,11,3,7/7,For brokerage costs of exchange to Rouen in nr 18 and 20 at 1/8% and provision at 1/3%
22,19,18,16330123,225,12,7,3,6/6,"For my 2/5 part of the £564.1.5 remitted for the says, nr 20"
23,19,22,16330123,112,16,3,3,7/6,For the difference between £225.12.7 for my part and the £338.8.10 for his 3/5 part.
24,16,22,16330123,2,5,2,3,5/5,For 3 months of £112.16.3 owed to Rice nr 23 at 8%
25,4,9,16330130,75,0,8,3,3/2,For 5 barrels nr 3 at £6.15 per pound as partial payment for the 100 Leeds Dozens nr 8
26,1,9,16330130,135,19,8,3,3/1,"Paid to George Pinchback, which was to be for 6 months as partial payment for the 100 Leeds Dozens nr 8"
27,16,9,16330130,4,19,8,3,3/5,For 5.5 months discount of £216 at 8% deriving from the 100 Leeds Dozens nr 8
28,8,13,16330219,1580,10,0,4,4/3,For 3 barrels of mestica weighing 545 lbs at 58s. per pound
29,13,7,16330219,956,8,7,4,2/4,Received for Symonson from Wilkinson
30,1,8,16330219,5,5,4,4,3/1,For brokerage of £1580.10 at 1/3% nr 28
31,23,8,16330219,31,12,2,4,3/7,For my provision of £1580.10 at 2% nr 28
32,7,8,16330219,1539,14,10,4,2/3,For the net proceeds of sales of the cochineal. There is a misprinting in the journal that lists this as £1639.14.10
33,10,7,16330217,110,17,2,4,2/3,For 1224 guilders 19s. 8d. drawn by Symonson on me with the exchange of 36s. 10d
34,10,23,16330217,0,10,1,4,7/3,For brokerage and provision of 5 guilders 0s. 8d. at 33s. 4d. for nr 33
35,1,24,16330221,594,0,0,4,8/1,For 96 pieces of Colchester black bays bought from James Wilkinson and consigned to Diego del Varino
36,14,7,16330221,396,0,0,4,2/5,For Symonson’s 2/3 part in the bays nr 35
37,12,7,16330221,637,10,0,5,2/4,For 150 kerseys sold to James Wilkinson at £4.5.0 per piece ready money
38,7,14,16330221,212,10,0,5,5/2,For Symonson’s 1/3 of the principal of the sale in nr 37
39,7,1,16330221,328,10,11,5,1/2,Received from James Wilkinson to clear the account current of Symonson
40,11,25,16330305,286,2,6,5,8/3,"For sales of 60 dozens: 30 at 45 guilders 7s. 8d. and 30 at 50 guilders for 6 months, which is 2861 guilders 5s. at the exchange rate of 33s. 4d."
41,25,10,16330305,136,2,6,5,3/8,For the 1361 guilders 5s. received by Symonson (nr 40) and reduced at 33s. 4d.
42,10,26,16330305,136,0,0,5,8/3,For 1722 florins 20 gros according to my order at 228 gros per pound Flemish is 1360 guilders paid by Symonson at 33s 4d.
43,1,26,16330313,200,0,0,5,8/1,For 2666 florins 20 gros remitted in bills of exchange to Steven Jourdane at 240 gros per pound Flemish
44,1,12,16330313,2,2,6,5,4/1,For brokerage of £637.10 at 1/3% nr 37
45,23,12,16330313,128,5,0,5,4/7,For my 2/3 of the gains from the kerseys and other transactions
46,14,12,16330313,57,2,6,5,4/5,For Symonson’s 1/3 part in the £171.7.6 gained by the kerseys
47,1,27,16330313,4,7,0,6,8/1,For charges upon the reception of 60 pieces of Cambric cloth to be sold for Symonson
48,20,28,16330313,300,0,0,6,9/6,For 1000 French crowns remitted by Du Boys for the company’s use at 124d. are 3100 guilders and here at 72d. There is a mistake in the journal that gives this as £530
49,3,7,16330321,300,0,0,6,2/1,For 60 Leeds dozens sold and shipped to Symonson by John Claeson at £5 per piece
50,1,7,16330321,9,7,6,6,2/1,For various charges in my book of small expenses
51,30,29,16330321,426,4,6,6,9/9,For 1576 pieces of figs purchased by Diego del Varino in Lisbon which cost 681 milréis (u.) 960 réis reduced at 400 réis per 5s.
52,1,29,16330321,8,7,9,6,9/1,"For freight, customs, and other expenses"
53,19,18,16330321,5,0,8,6,6/6,For 3/5 of the charges for the figs nr 52
54,31,13,16330321,314,3,4,6,4/10,For 10 chests of sugar bought for Wilkinson of total weight 51 hundredweight 3 quarters 4 pounds at 13d. per pound
55,1,32,16340329,0,12,5,6,10/1,For transportation costs paid by me for various goods
56,32,33,16340329,0,12,5,7,10/10,For payment of nr 55
57,26,9,16340329,401,15,8,7,3/8,For 5000 florins remitted in bills of exchange at 224 gros per pound Flemish
58,20,28,16340329,342,1,9,7,9/6,"For £1140.17.8 French crowns remitted in bills of exchange at 123d, which is 3506 guilders 8s. and at 72d. sterling, though the journal says at 73d."
59,20,21,16340329,2,11,3,7,7/6,For brokerage and provision amounting to £8.32.10 French crowns at 72d. sterling
60,5,34,16340407,560,17,0,7,10/2,"For £1869.23.4 French crowns costs and charges of 8 bars of silver, weighing 219 M. 4 oz at £22.6 per Mark are £5608.10 livres reduced at 2s. per livre"
61,1,34,16340407,4,7,2,7,10/1,For custom and other charges
62,15,5,16340407,123,4,0,7,2/5,For £410 40s. French crowns that are now due at the rate of 72d.
63,13,31,16340407,250,0,0,7,10/4,For £250 at 8% for four months
64,7,26,16340407,309,7,6,7,8/2,For 3987 florins 15 gros in bills of exchange for the account of Symonson at 232 gros per pound Flemish
65,10,26,16340407,148,0,6,8,8/3,For 1907 florins 26 gros remitted at 232 gros per pound Flemish is 1480 guilders 5 stuivers at 33s. 4d. deriving from the 30 Leeds dozens nr 40
66,25,10,16340407,150,0,0,8,3/8,For 1500 guilders discounted at 8% for 2 months is 33s. 4d. from the sale of 30 dozens nr 40
67,10,11,16340407,1,19,6,8,4/3,For 19 guilders 15 stuivers discount of nr 66
68,28,35,16340415,1104,12,0,8,10/9,"For purchase of goods for 3/4 ready money and 1/4 at 2 months to be sent to Thomas Trust in Antwerp to be sold there: 30 butts of serrese, 8 bales of pepper weighing 1720 pounds, and 19 lasts 24 mudden and 3 schepels of wheat"
